,City,Lat,Lon,Temp,Humidity
0,hilo,19.73,-155.09,23.35,88
1,bac lieu,9.29,105.72,27.94,83
2,sao filipe,14.9,-24.5,23.64,86
3,eenhana,-17.47,16.33,15.0,54
4,hobart,-42.88,147.33,8.18,61
5,ust-nera,64.57,143.2,14.27,45
6,mataura,-46.19,168.86,11.11,88
7,cidreira,-30.18,-50.21,16.12,86
8,ostrovnoy,68.05,39.51,5.6,87
9,busselton,-33.65,115.33,7.72,68
10,kapaa,22.08,-159.32,27.23,69
11,makarov,48.63,142.8,14.01,90
12,rikitea,-23.12,-134.97,24.56,83
13,tasiilaq,65.61,-37.64,4.0,80
14,mahebourg,-20.41,57.7,21.0,83
15,punta arenas,-53.15,-70.92,1.25,93
16,meulaboh,4.14,96.13,24.99,90
17,avarua,-21.21,-159.78,26.0,74
18,hualmay,-11.1,-77.61,18.71,74
19,burhar,23.22,81.53,29.29,42
20,oussouye,12.48,-16.55,27.0,65
21,puerto ayora,-0.74,-90.35,25.37,57
22,saint-pierre,-21.34,55.48,16.71,72
23,dikson,73.51,80.55,1.4,100
24,castro,-24.79,-50.01,17.07,95
25,norman wells,65.28,-126.83,16.0,51
26,eureka,40.8,-124.16,20.52,48
27,kirakira,-10.45,161.92,29.03,71
28,vaini,-21.2,-175.2,25.0,83
29,albany,42.6,-73.97,28.82,57
30,ushuaia,-54.8,-68.3,4.0,69
31,teya,60.38,92.63,5.36,85
32,cape town,-33.93,18.42,15.0,82
33,kavaratti,10.57,72.64,28.92,80
34,kodiak,57.79,-152.41,9.0,81
35,barrow,71.29,-156.79,0.0,83
36,new norfolk,-42.78,147.06,6.6,83
37,lubao,14.92,120.55,25.5,83
38,qaanaaq,77.48,-69.36,0.46,86
39,belaya gora,68.53,146.42,8.67,65
40,bethel,41.37,-73.41,29.53,42
41,makakilo city,21.35,-158.09,27.86,65
42,san,13.3,-4.9,28.21,56
43,jamestown,42.1,-79.24,29.31,45
44,bluff,-46.6,168.33,11.11,88
45,bredasdorp,-34.53,20.04,8.0,93
46,launceston,-41.45,147.17,6.9,100
47,east london,-33.02,27.91,24.69,30
