,City,Lat,Lon,Temp,Humidity,Clouds
0,atuona,-9.8,-139.03,27.12,72,42
1,ushuaia,-54.8,-68.3,1.0,86,2
2,kalianget,-7.05,113.93,28.9,73,0
3,chardara,41.25,67.97,21.13,36,0
4,pisco,-13.7,-76.22,17.1,88,3
5,sao filipe,14.9,-24.5,24.97,77,0
6,saldanha,-33.01,17.94,8.0,70,0
7,ilulissat,69.22,-51.1,2.0,80,0
8,lakes entrance,-37.88,147.98,12.22,74,0
9,upernavik,72.79,-56.15,0.93,90,0
10,carnarvon,-24.87,113.63,20.0,100,90
11,jamestown,42.1,-79.24,21.86,56,20
12,jabinyanah,35.03,10.91,24.0,57,0
13,ambikapur,23.12,83.2,25.1,75,99
14,saint george,37.1,-113.58,31.77,14,1
15,dawei,14.08,98.2,24.75,89,100
16,san patricio,19.22,-104.7,27.0,78,40
17,matara,5.95,80.54,27.37,87,96
18,lasa,46.62,10.7,6.6,100,90
19,narasannapeta,18.42,84.05,29.64,72,100
20,zhigansk,66.77,123.37,18.22,66,9
21,rio gallegos,-51.62,-69.22,-3.0,100,20
22,bredasdorp,-34.53,20.04,4.0,86,10
23,kruisfontein,-34.0,24.73,11.81,42,0
24,punta arenas,-53.15,-70.92,-3.17,92,0
25,khatanga,71.97,102.5,12.0,41,99
26,vestmannaeyjar,63.44,-20.27,9.23,81,100
27,adrar,20.5,-10.07,34.19,20,0
28,bluff,-46.6,168.33,8.45,62,7
29,hengyang,26.89,112.61,31.08,65,100
30,kapaa,22.08,-159.32,26.71,69,75
31,lokoja,7.8,6.74,23.64,91,99
32,shimoda,34.67,138.95,21.42,83,75
33,yellowknife,62.46,-114.35,15.0,41,40
34,mataura,-46.19,168.86,7.24,75,0
35,kavieng,-2.57,150.8,29.92,65,19
36,poum,-20.23,164.02,23.96,74,100
37,vaini,-21.2,-175.2,24.0,73,40
38,le vauclin,14.55,-60.84,26.74,78,40
39,bethel,41.37,-73.41,19.49,82,1
40,barrow,71.29,-156.79,6.0,70,1
41,la maddalena,41.21,9.41,18.5,55,0
42,mount gambier,-37.83,140.77,14.0,71,81
43,ancud,-41.87,-73.82,8.97,93,90
44,ribeira brava,32.65,-17.07,17.31,82,20
45,hervey bay,-25.3,152.85,22.78,59,11
46,castro,-24.79,-50.01,12.86,95,52
47,srednekolymsk,67.45,153.68,30.65,20,12
48,bambanglipuro,-7.95,110.28,28.24,75,35
49,dikson,73.51,80.55,0.65,91,22
50,hobart,-42.88,147.33,5.51,70,13
51,salvacion,7.98,126.13,27.93,84,99
52,rikitea,-23.12,-134.97,24.19,84,100
53,georgetown,5.41,100.34,28.12,78,20
54,zastron,-30.3,27.08,0.64,89,53
55,busselton,-33.65,115.33,12.1,71,48
56,salinopolis,-0.61,-47.36,25.77,86,3
57,belle glade,26.68,-80.67,26.12,79,36
58,bengkulu,-3.8,102.27,27.67,71,88
59,oranjemund,-28.55,16.43,18.14,34,0
60,opuwo,-18.06,13.84,11.96,55,0
61,katobu,-4.94,122.53,28.55,74,62
62,lata,40.16,-8.33,12.78,86,19
63,goderich,43.75,-81.72,18.7,60,0
64,geraldton,-28.77,114.6,18.0,63,75
65,ribeira grande,38.52,-28.7,17.28,78,94
66,ahome,25.92,-109.18,31.0,51,75
67,hermanus,-34.42,19.23,10.0,82,0
68,mayo,38.89,-76.51,19.45,94,90
69,airai,-8.93,125.41,20.24,75,95
70,greymouth,-42.47,171.2,11.52,63,84
71,san carlos de bariloche,-41.15,-71.31,5.0,75,75
72,butaritari,3.07,172.79,28.34,72,22
73,darlowo,54.42,16.41,13.89,93,91
74,dedovichi,57.55,29.95,17.85,93,68
75,nanortalik,60.14,-45.24,3.34,83,85
76,los tangos,15.15,-88.68,23.15,91,100
77,klaksvik,62.23,-6.59,9.0,100,100
78,yenagoa,4.92,6.26,24.15,93,100
79,new norfolk,-42.78,147.06,4.82,82,43
80,lesnoy,57.62,63.08,9.58,68,44
81,norman wells,65.28,-126.83,30.0,23,75
82,nikolskoye,59.7,30.79,17.14,88,0
83,labuhan,-6.88,112.21,28.15,74,0
84,launceston,-41.45,147.17,7.18,81,90
85,valparai,10.37,76.97,24.0,100,75
86,albany,42.6,-73.97,21.02,83,50
87,maniitsoq,65.42,-52.9,2.57,82,26
88,los llanos de aridane,28.66,-17.92,21.0,68,17
89,mar del plata,-38.0,-57.56,15.59,100,75
90,hilo,19.73,-155.09,25.83,62,20
91,leningradskiy,69.38,178.42,11.33,48,100
92,college,64.86,-147.8,24.1,27,75
93,cape town,-33.93,18.42,10.03,76,0
94,hithadhoo,-0.6,73.08,28.95,74,0
95,lebu,-37.62,-73.65,11.63,82,100
96,luderitz,-26.65,15.16,20.9,23,0
97,lompoc,34.64,-120.46,19.64,60,1
98,fortuna,40.6,-124.16,15.97,82,20
99,coihaique,-45.58,-72.07,3.0,93,100
100,hambantota,6.12,81.12,27.0,100,90
101,maldonado,-34.67,-54.92,20.58,82,90
102,avarua,-21.21,-159.78,23.0,69,0
103,necochea,-38.55,-58.74,17.78,99,100
104,east london,-33.02,27.91,14.72,62,0
105,kinwat,19.63,78.2,27.33,71,100
106,medyn,54.97,35.86,14.0,100,7
107,contamana,-7.33,-75.02,24.55,77,7
108,havre-saint-pierre,50.23,-63.6,14.0,76,90
109,kaitangata,-46.28,169.85,10.56,51,32
110,qaanaaq,77.48,-69.36,-1.36,95,5
111,roald,62.58,6.13,13.18,93,6
112,grindavik,63.84,-22.43,9.0,70,75
113,hasaki,35.73,140.83,24.15,78,75
114,kalmunai,7.42,81.82,28.11,74,99
115,kajiado,-1.85,36.78,15.0,82,0
116,la cruz,23.92,-106.9,27.78,75,0
117,linxia,35.6,103.21,20.76,41,46
118,malanje,-9.54,16.34,12.86,55,0
119,vardo,70.37,31.11,7.83,78,0
120,gat,31.61,34.76,21.79,53,0
121,tuktoyaktuk,69.45,-133.04,6.0,93,75
122,cherskiy,68.75,161.3,26.81,24,100
123,point fortin,10.18,-61.68,25.0,90,100
124,baiao,-2.79,-49.67,23.18,95,32
125,pangnirtung,66.15,-65.71,2.03,83,57
126,pandamatenga,-18.53,25.63,8.28,82,0
127,qiongshan,20.01,110.35,30.0,79,20
128,seddon,-37.81,144.89,14.6,67,40
129,port hardy,50.7,-127.42,16.0,67,75
130,les cayes,18.2,-73.75,26.15,79,100
131,puerto ayora,-0.74,-90.35,20.56,93,74
132,las vegas,36.17,-115.14,33.17,9,1
133,brits,-25.63,27.78,5.31,86,0
