,City,Lat,Lon,Temp,Humidity,Clouds,Max Temp,Wind Speed
0,rikitea,-23.12,-134.97,20.09,65,10,20.09,8.5
1,dikson,73.51,80.55,5.73,85,0,5.73,6.71
2,nikolskoye,59.7,30.79,12.16,76,20,13.89,3.0
3,khatanga,71.97,102.5,11.21,64,9,11.21,7.91
4,faya,18.39,42.45,24.0,40,17,25.0,1.27
5,bluff,-46.6,168.33,9.89,81,99,9.89,7.16
6,peniche,39.36,-9.38,18.34,85,5,19.44,4.92
7,bredasdorp,-34.53,20.04,13.0,76,100,13.0,8.2
8,isangel,-19.55,169.27,18.0,93,75,18.0,8.41
9,oistins,13.07,-59.53,30.0,62,20,30.0,9.8
10,te anau,-45.42,167.72,2.55,87,91,2.55,0.28
11,port alfred,-33.59,26.89,17.22,82,0,17.22,2.24
12,barrow,71.29,-156.79,4.0,80,40,4.0,4.1
13,punta arenas,-53.15,-70.92,0.77,80,98,1.0,8.7
14,marsabit,2.33,37.99,19.26,77,10,19.26,9.55
15,ushuaia,-54.8,-68.3,3.0,64,40,3.0,2.6
16,new norfolk,-42.78,147.06,1.52,92,48,2.22,0.84
17,port pirie,-33.18,138.02,9.0,57,90,9.0,2.6
18,qaanaaq,77.48,-69.36,8.5,53,98,8.5,0.99
19,arraial do cabo,-22.97,-42.03,23.0,78,75,23.0,7.7
20,manga,11.66,-1.07,27.16,71,29,27.16,3.68
21,kundiawa,-6.02,144.97,14.39,69,0,14.39,1.31
22,snyatyn,48.45,25.57,16.67,75,88,16.67,0.89
23,georgetown,5.41,100.34,26.26,94,40,27.0,1.5
24,santa rosa,14.31,121.11,27.78,82,100,28.33,1.79
25,ribeira grande,38.52,-28.7,22.0,64,75,22.0,2.1
26,fare,-16.7,-151.02,24.87,77,46,24.87,11.02
27,sinnamary,5.38,-52.95,27.35,79,77,27.35,2.8
28,touros,-5.2,-35.46,26.0,88,40,26.0,3.6
29,victoria,22.29,114.16,29.03,74,100,30.0,4.92
30,puerto ayora,-0.74,-90.35,21.11,88,80,21.11,2.24
31,east london,-33.02,27.91,20.39,47,7,20.39,1.24
32,saint george,37.1,-113.58,37.93,6,1,38.89,6.06
33,nome,64.5,-165.41,13.11,76,1,14.44,3.6
34,mataura,-46.19,168.86,5.59,92,100,5.59,2.26
35,knyaze-volkonskoye,48.46,135.46,14.0,87,100,14.0,3.0
36,torbay,47.67,-52.73,14.24,71,75,15.56,7.2
37,rosarito,32.33,-117.03,25.08,60,5,26.67,4.1
38,san patricio,19.22,-104.7,32.0,70,75,32.0,7.7
39,doka,13.52,35.77,23.84,79,100,23.84,5.3
40,canala,-21.53,165.95,17.0,82,20,17.0,1.5
41,souillac,-20.52,57.52,22.0,73,75,22.0,6.7
42,pirgos,35.12,25.72,24.44,58,3,24.44,9.39
43,busselton,-33.65,115.33,2.34,85,0,3.33,2.96
44,marsa matruh,31.35,27.25,25.0,73,0,25.0,4.6
45,ende,-8.84,121.66,22.74,78,62,22.74,0.17
46,san vicente,-26.62,-54.13,9.81,83,0,9.81,1.24
47,zambezi,-13.54,23.1,16.28,38,0,16.28,1.78
48,antofagasta,-23.65,-70.4,15.0,72,20,15.0,4.1
49,hermanus,-34.42,19.23,11.67,83,100,11.67,2.24
50,geraldton,-28.77,114.6,10.0,71,0,10.0,7.2
51,upernavik,72.79,-56.15,6.67,74,100,6.67,2.14
52,jamestown,42.1,-79.24,30.78,51,90,31.67,1.5
53,ceres,37.59,-120.96,32.28,24,1,33.33,3.6
54,nouadhibou,20.93,-17.03,25.0,65,1,25.0,8.2
55,ponnani,10.77,75.93,25.0,88,75,25.0,2.6
56,huangnihe,43.56,128.02,14.7,87,0,14.7,0.91
57,aljezur,37.32,-8.8,21.67,85,0,21.67,3.95
58,hobart,-42.88,147.33,2.08,93,40,3.0,3.6
59,chicama,-7.84,-79.15,21.55,58,6,21.55,4.45
60,grand gaube,-20.01,57.66,22.22,65,41,22.22,4.92
61,winnemucca,40.97,-117.74,32.0,11,1,32.0,7.2
62,oussouye,12.48,-16.55,29.0,79,40,29.0,3.1
63,bambous virieux,-20.34,57.76,22.11,73,75,22.22,6.7
64,bonfim,3.08,-59.95,29.5,69,97,29.5,2.66
65,cape town,-33.93,18.42,12.03,93,75,12.78,3.1
66,ancud,-41.87,-73.82,8.16,81,75,8.33,2.1
67,okhotsk,59.38,143.3,11.4,94,100,11.4,2.39
68,albany,42.6,-73.97,34.06,40,0,35.0,2.09
69,kaitangata,-46.28,169.85,8.33,75,94,8.33,3.58
70,avarua,-21.21,-159.78,25.0,69,73,25.0,5.7
71,vaini,-21.2,-175.2,23.0,88,90,23.0,3.6
72,kambove,-10.88,26.6,14.68,54,0,14.68,1.96
73,sisimiut,66.94,-53.67,7.85,92,100,7.85,1.81
74,sindor,62.86,51.89,20.8,93,12,20.8,3.65
75,balabac,7.99,117.06,27.85,79,100,27.85,3.8
76,tongliao,43.61,122.27,19.73,60,4,19.73,2.62
77,lavrentiya,65.58,-171.0,10.23,76,7,10.23,1.91
78,hauterive,46.09,3.45,25.66,39,52,27.0,3.6
79,havelock,34.88,-76.9,29.56,66,75,31.0,6.7
80,belaya gora,68.53,146.42,17.02,60,80,17.02,0.86
81,taree,-31.9,152.47,10.0,100,90,10.0,2.1
82,tanout,14.97,8.89,36.39,20,98,36.39,1.46
83,tomatlan,19.93,-105.25,34.91,43,67,34.91,4.23
84,zapresic,45.86,15.81,21.69,73,41,22.78,0.81
85,tautira,-17.73,-149.15,27.0,65,20,27.0,2.6
86,provideniya,64.38,-173.3,10.0,81,20,10.0,4.0
87,svetlyy,54.67,20.13,14.0,93,90,14.0,2.0
88,atuona,-9.8,-139.03,26.45,78,2,26.45,7.35
89,hilo,19.73,-155.09,24.75,69,90,27.0,4.1
90,nizhniy tsasuchey,50.52,115.13,19.26,62,0,19.26,5.28
91,la macarena,2.18,-73.78,28.19,70,78,28.19,1.21
92,mattru,7.62,-11.83,22.95,98,100,22.95,1.46
93,general roca,-39.03,-67.58,15.0,44,76,15.0,5.1
94,whitianga,-36.83,175.7,8.96,66,0,8.96,1.88
95,kaithal,29.8,76.38,33.82,46,1,33.82,0.86
96,cabo san lucas,22.89,-109.91,30.84,62,40,31.67,5.1
97,fairbanks,64.84,-147.72,12.77,93,90,14.0,2.31
98,beira,-19.84,34.84,18.94,93,0,19.0,1.0
99,superior,46.72,-92.1,26.52,65,1,27.78,4.6
